country_name,cow_code,independence,labor_workinjury_firstlaw,labor_workinjury_firstlaw_source,labor_workinjury_firstins,labor_workinjury_firstins_source,labor_workinjury_first_fund,labor_workinjury_first_fund_source,labor_workinjury_first_socins,labor_workinjury_first_socins_source,labor_workinjury_firstnat,labor_workinjury_firstnat_carriedover,labor_workinjury_firstlaw_programtype,**_source,labor_workinjury_firstlaw_sspw,labor_workinjury_firstlaw_whitecollar,labor_workinjury_firstlaw_whitecollar_coverage,labor_workinjury_firstlaw_whitecollar_fullcoverage,**_source,labor_workinjury_firstlaw_bluecollar,labor_workinjury_firstlaw_bluecollar_coverage,labor_workinjury_firstlaw_bluecollar_fullcoverage,**_source,labor_workinjury_firstins_bluecollar_fullcoverage,**_source,labor_workinjury_firstlaw_agriworkers,labor_workinjury_firstlaw_agriworkers_coverage,labor_workinjury_firstlaw_agriworkers_fullcoverage,**_source,workinjury_replacement_rate_perm_2020,workinjury_duration_perm_2020,workinjury_replacement_rate_temp_2020,workinjury_duration_temp_2020,Region,global_south,workinjury_coverage_GEIP,workinjury_coverage_WSPR,colonial_history
Germany,255,1816,1871,"Sherman 1915, p. 855",1884,ILO 1935,,,1884,ILO 1935 (Report on Social Insurance),1871,no,Employer liability,Sherman 1915,1884,1884,Only white collar in industrial undertakings,1928,ILO 1935 (Report on Social Insurance),1871,"railroad workers plus anyone operating a mine, quarry, pit or factory; an extension of the 1838 Prussian law to all of Germany",1884,Sherman 1915; US Bureau of Labor 1910,1884,ILO 1935 (Report on Social Insurance),1886,,1886,ILO 1935 (Report on Social Insurance),70,unlimited,92.5,6 months,Western Europe,0,0.63,100,None
Ghana,452,1957,1940,ILR 1941:43(3),none,,,,none,ISSA 2019,1957,yes,Employer liability,Ishmael et al 2014,1940,1964,ILR 1964,1982,ILO LS 1982,1940,only earning under 600 cent per year and literate,1965,Ishmael et al 2014,none,,1964,only with machines,,"ILR 1964, ILO LS 1982",100,96 months,100,24 months,Sub-Saharan Africa,1,0.166,NA,UK
Greece,350,1828,1901,"Meeker 1914, p. 150",1901,Meeker 1914,1901,Meeker 1914,1951,Greece 1951,1901,no,Risk-Pooling,"Meeker (1914): Workmen's Compensation Laws of the United States and Foreign Countries, p. 150 (Zotero)",1907,1934,1934,1934,Venieris 1994,1901,Miners,1934,Venieris 1994,1951,ILO LS 1951,1934,limited,1987,SSPW 1999,45,unlimited,60,variable,Southern Europe,0,0.469,46.9,None
Grenada,55,1969,1969,Grenada 1983,1969,Grenada 1983,,,1969,Grenada 1983,1969,no,Risk-Pooling,Mesa-Lago 1988,1982,,,1983,Grenada 1983,1885,British only,1969,Grenada 1983,1983,Grenada 1983,,,1983,Grenada 1983,75,unlimited,70,12 months,Latin America and the Caribbean,1,0.607,92.4,UK
Guatemala,90,1868,1906,ILO 1935 (Report on Social Insurance),1946,ILO LS 1946,,,1946,ILO 1935 (Report on Social Insurance),1906,no,Employer liability,ILO 1935 (Report on Social Insurance),1906,,,1946,ILO LS 1946,1906,"More than 12 workers; social insurance on 1946 extends gradually across country, but all are covered by some law by 1926",1926,Farman 1956 inferred,1969,ILO LS 1946; SSPW 1981,1906,"only over 12 employees; in 1946 agriculture covered, but not applied in all places at first. So legally all are covered but in practice not",1969,ILO LS 1946; SSPW 1981,50,unlimited,60,unlimited,Latin America and the Caribbean,1,0.656,18.6,Spain
Guinea,438,1958,1925,"Buell 1928; ILO LS 1926, p. 686",1959,ILR 1961 84(3),,,1959,ILR 1961 84(3),1958,yes,Employer liability,"ILO LS 1926, p. 686",1932,,,1959,ILR 1961 84(3),1925,Buell 1928,1959,ILR 1961 84(3),1959,,,,1994,SSPW 1999,70,unlimited,64,unlimited,Sub-Saharan Africa,1,0.145,14.5,France
Guinea-Bissau,404,1974,1947,Vanilton 2023,1980,SSPW 2019,,,1980,SSPW 2019,1980,yes,Employer liability,Vanilton 2023,1980,1960,,1980,SSPW 2019,1947,unknown,1980,SSPW 2019,1980,SSPW 2019,,,none,SSPW 2019,70,unlimited,68,unlimited,Sub-Saharan Africa,1,NA,NA,Portugal
Guyana,110,1966,1916,SSPW 2017,1969,Goolsarran 2005,,,1969,Goolsarran 2005,1966,yes,Employer liability,SSPW 2017,1916,,,1969,SSPW 1981,1916,,1969,SSPW 2018; Goolsarran 2005,1969,SSPW 1981,1921,Presumably the same income cap applies here,1969,Goolsarran 2005; SSPW 1981,70,unlimited,70,6 months,Latin America and the Caribbean,1,0.566,100,UK
Haiti,41,1859,1943,ILO LS 1943,1951,ILO LS 1951,1943,ILO LS 1943,1951,ILO LS 1951,1943,no,Risk-Pooling,ILO LS 1951,1951,,,1951,ILO LS 1951,1943,unclear,1951,ILO LS 1951,1961,ILO LS 1961,1951,,1961,ILO LS 1951,60,unlimited,66.7,unlimited,Latin America and the Caribbean,1,0.157,2.1,France
Honduras,91,1899,1950,Reform of the Mining Code of 1937,1971,SSPW 2017,,,1971,SSPW 2017,1950,no,Employer liability,SSPW 2017 (inferred),1959,,,1971,"ILO LS 1959, ISSA 2019",1950,miners only,1952,"SSPW 2017 (inferred), U.S. Department of Health, Education, and Welfare, Office of International Health, Division of Planning and Evaluation 1972, ILO LS 1952",2005,Honduras 2005,none,,none,,70,unlimited,100,6 months,Latin America and the Caribbean,1,0.163,15.5,Spain
Hungary,310,1919,1907,US Bureau of Labor 1910,1907,ILO 1935 (Report on Social Insurance),,,1907,"US Bureau of Labor 1910, ILO 1962",1919,yes,Risk-Pooling,US Bureau of Labor (1910): Bulletin of the United States Bureau of Labour p. 734 (Zotero),1900,1907,"working in commerce and earning under 2,000 krowns per year",1927,Oliver 1911; Kovrig 1929,1907,Industrial covereage limited,1927,ILO 1935 (Report on Social Insurance); Oliver 1911,1927,Kovrig 1929,1900,seasonal agricultural workers ,1927,Oliver 1911; Kovrig 1929,30,unlimited,98,6 months,Eastern Europe,0,0.783,78.3,None
Iceland,395,1918,1917,ILO 1935 (Report on Social Insurance),1925,ILO 1935 (Report on Social Insurance),,,1917,ILO 1935 (Report on Social Insurance),1917,no,Risk-Pooling,ILO 1935 (Report on Social Insurance),1903,1917,except smaller undertakings,1946,ILO 1935 (Report on Social Insurance); SSPW 1949,1917,"liability only, inurance came in 1925",1917,ILO 1935 (Report on Social Insurance),1946,SSPW 1949,1917,except smaller undertakings,1949,ILO 1935 (Report on Social Insurance); SSPW 1949,80,unlimited,45,12 months,Northern Europe,0,0.951,95.1,None
India,750,1947,1923,ILO 1935 (Report on Social Insurance),1948,ILO LS 1948,,,1948,ILO LS1948,1947,yes,Employer liability,"ILO Legislative Series 1923, p 717",1923,,,1948,India 1948; SSPW 1949,1923,,1948,ILO LS 1923; SSPW 1958,1999,SSPW 2019,,,none,,80,unlimited,90,unlimited,Southern Asia,1,0.079,3.7,UK
Indonesia,850,1949,1939,ILO LS 1939,1977,SSPW 1981,,,1977,SSPW 1981,1951,yes,Employer liability,ILO LS 1951,1951,,,1992,SSPW 2018,1939,Industrial only,1951,ILO LS 1951,1992,SSPW 1999,,,1992,SSPW 1992,70,80 months,100,6 months,South-eastern Asia,1,0.287,22.5,Netherlands
Iran,630,1855,1936,ILO LS 1936,1943,"Farman and Hale (1949, p. 122)",,,1943,"Farman and Hale (1949, p. 122)",1936,no,Employer liability,ILO LS 1936,1936,,,1986,Islamic Republic of Iran 2010,1936,,1943,Farman and Hale 1949,1975,ILO LS 1975,,,1975,ILO LS 1975,100,unlimited,75,unlimited,Southern Asia,1,0.387,21.3,None
Iraq,645,1932,1936,ILO LS 1936,1964,ILO LS 1964,,,1964,ILO LS 1964,1936,no,Employer liability,ILO LS 1936,1936,,,1971,"U.S. Department of Health and Human services 1975, 1981, 1983",1936,,1936,ILO LS 1936,1964,ILO LS 1964  ,1957,U.S. Bureau 1961,2015,Republic of Iraq 2015,80,unlimited,100,12 months,Western Asia,1,NA,NA,UK
Ireland,205,1922,1897,ILO 1935,1934,Ireland 1934,1934,Ireland 1934:33(a/b),1948,ILO LS 1948,1922,yes,Employer liability,Packer 1912:15,1897,,,1906,ILO 1935 (Report on Social Insurance),1880,"all ""manual labor"" at the time",1880,UK 1880,1966,ILO LS 1966,1900,,1900,ILO 1935 (Report on Social Insurance),60,unlimited,35,5 months,Northern Europe,0,0.718,71.8,None
Israel,666,1948,1948,SSPW 1949,1953,ILO LS 1953,,,1953,ILO LS 1953,1948,no,Employer liability,SSPW 1949,1953,,,1953,ILO LS 1953,1926,As British Palestine,1948,SSPW 1949,1953,ILO LS 1953,1926,British Palestine,1948,SSPW 1949,75,unlimited,67.5,3 months,Western Asia,0,0.741,74.1,None
Italy,325,1816,1898,ILO 1935,1898,ILO 1935,,,1898,ILO 1935,1898,no,Risk-Pooling,Quine 2002; U.S. Bureau of Labour Statistics 1917; Simons 1983,1898,,,1919,ILO 1935 (Report on Social Insurance),1898,"Mostly all industries, but as they are listed it is not ""all""",1919,Quine 2002,1919,ILO LS 1919,1917,,1917,ILO 1935 (Report on Social Insurance),87.5,unlimited,67.5,unlimited,Southern Europe,0,0.722,72.2,None
Ivory Coast,437,1960,1925,Buell 1928,1964,ILR 1964 90(6),,,1964,ILR 1964 90(6),1960,yes,Employer liability,Buell 1928,1957,1928,All white salaried employees,1988,MacLean 2002; SSPW 1997,1925,"Only compensating death, given legal duality, probably only applied to non-Natives",1964,Buell 1928; ILR 1964 90(6),1964,ILR 1964 90(6),,,1964,ILR 1964 90(6); Gerig 1966,100,unlimited,66.7,variable,Sub-Saharan Africa,1,0.147,14.7,France
Jamaica,51,1962,1937,Mesa-Lago 1988,1965,ILO LS 1965,1947,Jamaica 1947,1965,ILO LS 1965,1965,yes,Employer liability,Mesa-Lago 1988,1938,,,1965,ILO LS 1965; SSPW 1973,1938,,1938,SSPW 2017,1965,ILO LS 1965; SSPW 1973,,,1965,ILO LS 1965; SSPW 1973,60,unlimited,60,12 months,Latin America and the Caribbean,1,0.52,NA,UK
Japan,740,1860,1905,Reubens 1949,1931,ILO 1935 (Report on Social Insurance),,,1931,ILO 1935 (Report on Social Insurance),1905,no,Employer liability,ILO 1924,1905,,,1961,SSPW 1961,1905,"miners only, ILO 1935",1947,Japan 1947,1947,Japan 1947,,,1961,SSPW 1961,150,unlimited,80,unlimited,Eastern Asia,0,0.85,83.6,None
Jordan,663,1946,1955,U.S. Department of Health and Human Services 1958,1980,Dixon 2016,,,1980,Dixon 2016,1955,no,Employer liability ,Dixon 1987,1978,,,1984,Dixon 2016,1955,limited number of industries,1978,SSPW 1981,1981,Dixon 2016,,,1996,Hashemite Kingdom of Jordan 1996,75,unlimited,75,12 months,Western Asia,1,0.446,57.5,UK
Kazakhstan,705,1991,1936,SSPW 1949; ascesion to USSR,1936,SSPW 1949,,,1936,SSPW 1949,1991,yes,Risk-Pooling,SSPW 1949,1955,,,1936,Ascenscion to USSR,1936,,1936,Ascenscion to USSR laws,1936,Acenscion to USSR laws,,,1936,Ascenscion to USSR laws,100,36 months,100,unlimited,Central Asia,0,0.561,75.4,None
Kenya,501,1963,1940,ILR 1941:43(3),1974,Kenya 1974; NATLEX,,,1974,Kenya 1974,1963,yes,Employer liability,ILR 1941:43(3),1946,,,1974,Kenya 1974 (inferred),1940,Miners only,1963,Kenya 1963,1974,NATLEX,,,1976,NATLEX (inferred),90,96 months,50,12 months,Sub-Saharan Africa,1,0.093,9.3,UK
Kiribati,946,1975,1949,ILO LS 1949,1949,ILO LS 1949,,,1949,ILO LS 1949,1975,yes,Risk-Pooling,SSPW 2002,1949,1976,Earning under 4k$,none,SSPW 2018,1949,"under $4k per year, 1977 raises this to $10k",1949,Gilbert Islands 1977 (inferred),none,SSPW 2018,,,none,SSPW 2018,100,48 months,90,unlimited,Micronesia,1,0.328,NA,UK
Kuwait,690,1961,1976,Dixon 1987; ILO LS 1976,1976,Dixon 1987; ILO LS 1976,,,1976,Dixon 1987; ILO LS 1976,1976,no,Risk-Pooling,Dixon 1987,1976,,,1976,SSPW 1981,,,1976,SSPW 1981,1976,SSPW 1981,,,1976,SSPW 1981,72,unlimited,100,6 months,Western Asia,0,0.951,95.1,UK
Kyrgyzstan,703,1991,1922,"Goldberg 1962 (Soviet Labor Code 1922, Art. 17)",1922,"Goldberg 1962 (Soviet Labor Code 1922, Art. 17)",,,1922,"Goldberg 1962 (Soviet Labor Code 1922, Art. 17)",1991,yes,Risk-Pooling,"Goldberg 1962 (Russian Labor Code 1922, Art. 17)",1922,,,1936,ILO LS 1922 (USSR),1936,,1936,ILO LS 1922 (USSR),1936,ILO LS 1922 (USSR),,,1936,ILO LS 1922 (USSR),40,unlimited,100,unlimited,Central Asia,1,0.44,64.6,Russian
Laos,812,1953,1936,US Army 1943,1999,Laos 1999,,,1999,Laos 1999,1953,yes,Employer liability,US Army 1943,1999,,,1944,SSPW 1973,1936,,1936,US Army 1944,2001,SSPW 2002,,,1944,SSPW 1973,75,variable,70,6 months,South-eastern Asia,1,0.067,8,France
Latvia,367,1918,1903,"Norkus et al. (2020, p. 7)",1903,"US Bureau of Labor (1910), Norkus et al. (2020, p. 7)",,,1903,"US Bureau of Labor (1910), Norkus et al. (2020, p. 7)",1918,yes,Risk-Pooling,US Bureau of Labor (1910): Bulletin of the United States Bureau of Labour p. 743 (Zotero),1912,,,1927,ILO 1935,1903,industry,1927,ILO 1935 (Report on Social Insurance),1927,ILO 1935 (Report on Social Insurance),1927,,1927,"Norkus et al. (2020, p. 7); ILO 1935",90,unlimited,80,3 months,Northern Europe,0,0.692,69.2,Russian
Lebanon,660,1946,1943,Clarke 1966,1963,Clarke 1966,,,1963,Clarke 1966,1946,yes,Employer liability,Clarke 1966,1943,,,1963,Clarke 1966; SSPW 1973,1943,only 15 or more workers,1963,Clarke 1966; SSPW 1973,1963,Clarke 1966; SSPW 1973,,,1963,Clarke 1966; SSPW 1973,80,26 months,75,unlimited,Western Asia,1,0.478,47.8,France
Lesotho,570,1966,1977,SSPW 2017,1977,SSPW 2017,,,1977,SSPW 2017,1977,no,Risk-Pooling,Fultz & Pieris 1999; Lesotho 1977,1977,1977,Lesotho 1977,1977,Lesotho 1977,1977,all,1977,SSPW 2017,none,SSPW 2019,1977,,1977,Lesotho 1977,100,60 months,75,6 months,Sub-Saharan Africa,1,NA,NA,UK
Liberia,450,1862,1943,Webster 1958,1980,SSPW 2003,,,1980,SSPW 2003,1943,no,Employer liability,Webster 1958,1943,,,1956,Liberia 1956,1943,workers under $100 per year,1961,ILR 1963:87(2),1980,SSPW 1999,1956,"as long as they are not ""causal"" for the ""full"" coverage",1961,SSPW 1999,65,unlimited,65,unlimited,Sub-Saharan Africa,1,0.081,7.5,None
Libya,620,1951,1923,ILO LS 1923,1957,ILO LS 1957; Wasfy 1967,,,1923,ILO LS 1923,1951,yes,Risk-Pooling,ILO LS 1957; Wasfy 1967,1958,,,1957,ILO LS 1957,1923,all' workers covered but Italian given much higher benefit levels and many natives not covered,1957,ILO LS 1957; Moses 2018,,,1980,full (no longer listed as an exception in the law),1980,ILO LS 1980,90,unlimited,70,12 months,Northern Africa,1,NA,NA,UK
Liechtenstein,223,1806,1910,US Bureau of Labor Statistics 1917,1910,US Bureau of Labor Statistics 1917,,,1931,Lichtenstein 1931,1910,no,Employer liability,US BLS 1917:322,1910,1931,only in undertakings with industrial workers,1969,ILO LS 1931; NATLEX,1910,10 or more workers and risk exposure,1931,ILO LS 1931,1931,Leichtenstein 1931; ILO LS 1931,1931,only with machines,1969,ILO LS 1931; NATLEX,80,unlimited,50,unlimited,Western Europe,0,NA,NA,None
Lithuania,368,1918,1903,"Norkus et al. (2020, p. 7)",1903,"US Bureau of Labor (1910), Norkus et al. (2020, p. 7)",,,1903,"US Bureau of Labor (1910), Norkus et al. (2020, p. 7)",1918,yes,Risk-Pooling,US Bureau of Labor (1910): Bulletin of the United States Bureau of Labour p. 743 (Zotero),1903,,,1940,Ascenscion to USSR,1903,,1926,ILO 1935 (Report on Social Insurance),1940,Ascension to USSR law,1939,,1940,Norkus et al. 2020; Acession to USSR laws,75,unlimited,100,unlimited,Northern Europe,0,0.647,64.7,Russian
Luxembourg,212,1867,1902,ILO 1935 (Report on Social Insurance),1902,ILO 1935 (Report on Social Insurance),,,1910,BLS 1910,1902,no,Risk-Pooling,U.S. Bureau of Labor 1910,1902,,,1946,SSPW 1949,1902,,1902,US Bureau of Labor 1910,1902,U.S. Bureau of Labor Statistics 1917,1909,,1909,ILO 1935,100,unlimited,100,12 months,Western Europe,0,0.771,77.1,None
Macedonia,343,1991,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,,,1922,Bureau of Labor Statistics 1943,1991,yes,Risk-Pooling,Bureau of Labor Statistics 1943,,,,1946,ILO LS 1946,1922,,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,1922,,1922,Bureau of Labor Statistics 1943,,,,,,1,NA,NA,None
Madagascar,580,1960,1925,Goudal 1939; ILO LS 1925,1968,Madagascar 1968,,,1968,Madagascar 1968,1960,yes,Employer liability,SSPW 2017,1925,,,1968,Madagascar 1968,1925,"Natives covered, but at an extremely low rate. Cannot find law for non-natives, presume they are covered by French laws",1958,SSPW 1961; ILO LS 1958; ILO LS 1925,1968,Madagascar 1968,1925,"natives covered, but only in so far as the employers are registered, also no permanent incapacity compensation",1968,Madagascar,90,unlimited,66.7,12 months,Sub-Saharan Africa,1,0.093,9.3,France
Malawi,553,1964,1946,ILO LS 1946,1953,(inferred),,,1953,(inferred),1964,yes,Employer liability,"SSPW 1967, Radipati et al 1990, 387",1946,,,1990,SSPW 1999,1946,"legally speaking in practice, natives were not covered",1990,ILR 1944:50(4); SSPW 1999,1990,SSPW 1999,1946,dual legal system prevented application of law to natives,1990,ILO LS 1946; SSPW 1999,90,54 months,75,unlimited,Sub-Saharan Africa,1,0.069,6.9,UK
Malaysia,820,1957,1929,ILO LS 1929; Singapore 1932,1951,ILO LS 1951,1951,ILO LS 1951,1969,ILO LS 1969,1969,yes,Employer liability,Singapore 1932,1969,1952,"Earning under 400$/month (this is a very high bar, but excludes some)",1969,ILO LS 1969,1929,"larger industrial undertakings, only the Federate part",1969,ILO LS 1969,1969,ILO LS 1969,,,1969,ILO LS 1969,90,unlimited,80,6 months,South-eastern Asia,1,0.362,49.8,UK
Mali,432,1960,1925,"Buell; ILO LS 1926, p. 686",1962,ILO LS 1963:35,,,1962,ILO LS 1963:35,1962,yes,Employer liability,"ILO LS 1926, p. 686",1932,,,1962,ILO LS 1962,1925,"Whites only in practice, death only compensation",1962,ILO LS 1962; Buell 1928,1962,ILO LS 1962,1962,,1962,ILO LS 1962,90,unlimited,100,unlimited,Sub-Saharan Africa,1,0.091,5.3,France
Malta,338,1964,1929,ILO LS 1929,1929,ILO LS 1929,1929,ILO LS 1929,1956,ILO LS 1956; SSPW 1973,1964,yes,Risk-Pooling,ILO LS 1929,1929,,,1956,SSPW 1973,1929,,1929,ILO LS 1929,1956,SSPW 1973,1929,"All manual workers whether contract is written or oral, this legally includes agruculture",1929,ILO LS 1929,40,unlimited,56,12 months,Southern Europe,0,0.735,73.5,None
Marshall Islands,983,1986,1991,SSPW 2017,1991,SSPW 2017,,,1991,SSPW 2017,1991,no,Risk-Pooling,SSPW 2017,,,,1991,SSPW 1999,1991,,1991,SSPW 1999,none,SSPW 2018,,,1991,SSPW 1999,NA,NA,NA,NA,Micronesia,1,NA,NA,Various
Mauritania,435,1960,1925,"Buell 1928; ILO LS 1926, p. 686",1967,ILO LS 1967,,,1967,ILO LS 1967,1967,yes,Employer liability,"ILO LS 1926, p. 686",1932,,,1967,ILO LS 1967,1925,"Whites only in practice, death only compensation",1967,Buell 1928; ILO LS 1967,1967,ILO LS 1967,,,1967,ILO LS 1967,90,unlimited,66.7,unlimited,Sub-Saharan Africa,1,0.086,6.5,France
Mauritius,590,1968,1931,Mauritius 1931,1956,Mootoosamy 1981,1956,Mootoosamy 1981,1976,Mauritius 1976,1976,yes,Employer liability,Mauritius 1931,1931,,,1931,Mauritius 1931,1931,Comprehensive,1931,Mauritius 1931,1976,Mauritius 1976,1931,,1931,Mauritius 1931,NA,NA,NA,NA,Sub-Saharan Africa,1,0.682,68.2,None
Mexico,70,1821,1931,ILO LS 1931,1931,ILO LS 1931,,,1931,ILO LS 1931,1931,no,Risk-Pooling,US Bureau of Labor Statistics. 1933. ,1931,,,1931,ILO LS 1931; U.S. Bureau of Labor Statistics 1917,1906,Neuva Leon only,1931,Cormick and Barker. 1934; ILO LS 1931,1961,SSPW 1961,1931,same,1931,ILO LS 1931,70,unlimited,100,unlimited,Latin America and the Caribbean,1,0.493,35.4,Spain
Moldova,359,1991,1940,SSPW 1949,1940,SSPW 1949,,,1940,SSPW 1949,1993,yes,Risk-Pooling,Ascension to USSR law,1991,,,1940,ILO LS 1922 (USSR),1940,,1940,ILO LS 1922 (USSR),1940,ILO LS 1922 (USSR),,,1940,ILO LS 1922 (USSR),80,unlimited,100,6 months,Eastern Europe,0,0.602,71.6,Russian
Monaco,221,1993,1930,ILO LS 1930,1930,ILO LS 1930,,,1930,ILO LS 1930,1993,yes,Risk-Pooling,ILO LS 1930,1930,1930,"up to 8,000 Francs earnings",1958,ILO LS 1930; ILO LS 1958; SSPW 1999,1930,"maximum 8,000 Francs earnings",1958,ILO LS 1930; ILO LS 1958; SSPW 1999,1958,ILO LS 1958; SSPW 1999,,,1958,ILO LS 1958; SSPW 1999,100,unlimited,63.8,unlimited,Western Europe,0,NA,NA,None
Mongolia,712,1911,1994,Mongolia 1994 (Social Insurance),1994,Mongolia 1994 (Social Insurance),,,1994,Mongolia 1994 (Social Insurance),1994,no,Risk-Pooling,Mongolia 1994 (Social Insurance),,1994,,1994,Mongolia 1994,1994,,1994,Mongolia 1994 (Social Insurance),1994,Mongolia 1994,1994,,1994,Mongolia 1994 (Social Insurance),NA,NA,NA,NA,Eastern Asia,1,NA,76,None
Montenegro,341,2006,1922,Bureau of Labor Statistics 1931,1922,Bureau of Labor Statistics 1931,,,1922,Bureau of Labor Statistics 1943,2006,yes,Risk-Pooling,independence,,,,1946,ILO LS 1946,1922,,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,,,1958,ILO LS 1958; SSPW 1961,,,,,,1,NA,NA,None
Morocco,600,1956,1927,ILO LS 1927,1959,ILO LS 1959,1957,NATLEX; SSPW 1967,1957,NATLEX; SSPW 1967,1957,yes,Employer liability,ILO LS 1927,1927,,,1973,SSPW 1981,1927,Machinery and explosives only,1957,ILO LS 1957,1973,SSPW 1981,,,1973,SSPW 1981,95,unlimited,67,unlimited,Northern Africa,1,0.39,39,France
Mozambique,541,1975,1957,SSPW 2017,none,SSPW 2017,1960,ILR 1961:84(3),1960,ILR 1961:84(3),2007,yes,Employer liability,SSPW 2017,1957,1957,,2007,SSPW 2017; Mozambique 2007,1957,,2007,SSPW 2017; Mozambique 2007,none,SSPW 2017,,,2007,Mozambique 2007,85,unlimited,70,unlimited,Sub-Saharan Africa,1,NA,6.2,Portugal
Myanmar,775,1948,1923,ILO LS 1923,1954,Myanmar 1954; SSPW 1961,,,1954,Myanmar 1954,1948,yes,Employer liability,ILO LS 1923,1923,1954,"only firms with 10 or more, and not all regions",1981,SSPW 1981,1923,,1923,ILO LS 1923,1981,SSPW 1981,,,1981,SSPW 1981,70,unlimited,70,12 months,South-eastern Asia,1,NA,8.5,UK
Namibia,565,1990,1924,ILR 1925:12(3); Namibia 1941,1941,Namibia 1941,1941,Namibia 1941,1994,Namibia 1994,1990,yes,Employer liability,inferred,1941,,,1994,Namibia 1994,1924,,1994,Namibia 1994,1994,Namibia 1994,,,1994,Namibia 1994,70,unlimited,75,12 months,Sub-Saharan Africa,1,0.471,NA,Germany
Nepal,790,1816,1959,Harris 1973,1973,SSPW 1981,1962,NATLEX,1962,NATLEX,1959,no,Employer liability,Harris 1973,1959,1973,,2017,Mahharjan 2017; SSPW 1981,1959,,2017,Mahharjan 2017,2017,Mahharjan 2017,,,2017,Mahharjan 2017,NA,NA,NA,NA,Southern Asia,1,0.038,4.5,None
Netherlands,210,1816,1901,ILO 1935 (Report on Social Insurance),1901,ILO 1935 (Report on Social Insurance),,,1901,BLS 1910,1901,no,Risk-Pooling,US Bureau of Labor 1910,1901,1901,,1949,SSPW 1949,1901,,1901,Bureau of Labor 1901,1901,ILO 1935 (Report on Social Insurance),1922,,1922,ILO LS 1922; ILO 1935 (Report on Social Insurance),85,26 months,85,26 months,Western Europe,0,0.976,97.6,None
New Zealand,920,1907,1882,SSPW 1949,1956,ILO LS 1956,,,1956,ILO LS 1956,1908,yes,Employer liability,US Bureau of Labor (1910): Bulletin of the United States Bureau of Labour p. 739 (Zotero),1900,,,1922,ILO 1935 (Report on Social Insurance); SSPW 1949,1882,unclear,1900,US Bureau of Labor 1910,1956,ILO LS 1956,,,1902,ILO 1935 (Report on Social Insurance),100,unlimited,80,12 months,Australia and New Zealand,0,1,100,UK
Nicaragua,93,1900,1930,ILO LS 1930,1930,ILO LS 1930,,,1930,ILO LS 1930,1930,no,Risk-Pooling,ILO LS 1930,1930,,,1945,ILO LS 1945,1930,"15 employees or less or under a threshold level of capital for the firm, not covered",1945,"ILO LS 1930, ILO LS 1945",1982,ILO LS 1945; Nicaragua 1982,1930,"only first aid, hospital transportation and funeral",1945,ILO LS 1945,75,unlimited,60,6 months,Latin America and the Caribbean,1,0.449,22.8,Spain
Niger,436,1960,1925,"Buell 1928; ILO LS 1926, p. 686",1965,SSPW 2017,,,1965,SSPW 2017,1960,yes,Employer liability ,inferred,1961,,,1965,ILO LS 1965,1925,"Whites only in practice, death only compensation",1965,Buell 1928; inferred,1965,ILO LS 1965,,,1965,SSPW 1973,100,unlimited,63.8,unlimited,Sub-Saharan Africa,1,0.09,6.9,France
Nigeria,475,1960,1941,ILR 1960: 82(1),1958,ILO LS 1961,1958,ILO LS 1961,1987,Nigeria 1987,1960,yes,Employer liability,ILR 1960: 82(1) - inferred,1942,1956,non-manual earning less than 1000/year,2010,SSPW 1981; SSPW 2019,1941,"anyone earning over 500 Pounds not covered (1) railways; (2) operation or maintenance of mechanically propelled vehicles or aircraft; (3) factories or workshops using power; (4) factories or workshops without power but employing 10 or more persons; (5) mines or quarries; (6) employment on ships propelled or towed by steam power or on other ships of 50 tons or over; (7) and (8) loading and unloading; (9) various building processes; (10) lumbering when more than 25 persons are employed; (17) use of explosives; and (22) plantations maintained for growing cocoa, bananas, citrus fruits, palm produce, rubber or other produce, where not less than 25 persons are employed. The problem is the 10 worker boundary, but this is sufficient to code full coverage at 1956",1956,ILR 1960:82(1),1956,SSPW 1981,2010,,2010,SSPW 1999,90,unlimited,100,24 months,Sub-Saharan Africa,1,0.328,32.8,UK
North Korea,731,1948,1938,"Kim and Duk 2012, p. 17",1938,"Kim and Duk 2012, p. 17",,,1938,Kim and Duk 2012,1948,yes,Risk-Pooling,Kim and Duk 2012,1953,,,1978,interpolation,1938,miners only ,1978,interpolation,2008,interpolation,,,2008,interpolation,NA,NA,NA,NA,Eastern Asia,1,NA,NA,None
Norway,385,1905,1894,US Bureau of Labor Statistics 1910,1894,U.S. Bureau of Labor Statistics 1910,,,1894,US Bureau of Labor 1911,1905,yes,Risk-Pooling,"United States. Bureau of Labor (1910): ""Bulletin of the United States Bureau of Labor, No. 90, Volume XXI, p. 740",1894,,,1958,ILO LS 1958,1894,all industrial  ,1894,US Bureau of Labor Statistics,1915,US Bureau of Labor Statistics 1917,,,1958,ILO LS 1958,95,unlimited,100,12 months,Northern Europe,0,0.896,89.6,None
